date,campaign_id,campaign_name,impressions,clicks,spend,installs,source
2025-12-09,201,GGL_UAC_1,3273,113,74.42,14,Google
2025-12-08,201,GGL_UAC_1,11557,186,90.91,53,Google
2025-12-07,201,GGL_UAC_1,3073,42,12.57,7,Google
2025-12-06,201,GGL_UAC_1,13942,594,250.75,151,Google
2025-12-05,201,GGL_UAC_1,4465,143,93.84,34,Google
2025-12-04,201,GGL_UAC_1,14664,424,291.96,113,Google
2025-12-03,201,GGL_UAC_1,13786,489,310.41,83,Google
2025-12-02,201,GGL_UAC_1,6837,198,85.75,52,Google
2025-12-01,201,GGL_UAC_1,6506,97,28.82,21,Google
2025-11-30,201,GGL_UAC_1,3625,74,17.71,12,Google
2025-11-29,201,GGL_UAC_1,12892,135,20.85,36,Google
2025-11-28,201,GGL_UAC_1,6734,146,85.29,21,Google
2025-11-27,201,GGL_UAC_1,3966,61,34.18,18,Google
2025-11-26,201,GGL_UAC_1,13786,374,240.46,123,Google
2025-12-09,202,GGL_Install_2,2681,94,28.08,9,Google
2025-12-08,202,GGL_Install_2,8762,421,140.83,61,Google
2025-12-07,202,GGL_Install_2,7944,231,139.69,50,Google
2025-12-06,202,GGL_Install_2,12367,541,212.7,107,Google
2025-12-05,202,GGL_Install_2,11971,383,235.32,109,Google
2025-12-04,202,GGL_Install_2,8132,128,22.83,16,Google
2025-12-03,202,GGL_Install_2,8518,194,106.1,29,Google
2025-12-02,202,GGL_Install_2,2136,91,30.84,20,Google
2025-12-01,202,GGL_Install_2,3185,130,87.73,24,Google
2025-11-30,202,GGL_Install_2,12299,470,136.43,102,Google
2025-11-29,202,GGL_Install_2,14586,326,93.34,37,Google
2025-11-28,202,GGL_Install_2,13507,376,57.84,47,Google
2025-11-27,202,GGL_Install_2,5196,176,116.52,55,Google
2025-11-26,202,GGL_Install_2,7739,98,41.12,28,Google
2025-12-09,203,GGL_Prospecting_3,12394,308,77.91,65,Google
2025-12-08,203,GGL_Prospecting_3,12238,588,174.75,75,Google
2025-12-07,203,GGL_Prospecting_3,7292,143,30.98,48,Google
2025-12-06,203,GGL_Prospecting_3,4414,101,45.85,31,Google
2025-12-05,203,GGL_Prospecting_3,5534,72,31.37,12,Google
2025-12-04,203,GGL_Prospecting_3,6050,190,82.43,66,Google
2025-12-03,203,GGL_Prospecting_3,12401,301,175.35,55,Google
2025-12-02,203,GGL_Prospecting_3,6084,87,22.35,23,Google
2025-12-01,203,GGL_Prospecting_3,13666,652,117.36,180,Google
2025-11-30,203,GGL_Prospecting_3,6637,207,121.53,66,Google
2025-11-29,203,GGL_Prospecting_3,11787,347,194.31,118,Google
2025-11-28,203,GGL_Prospecting_3,14325,697,373.98,224,Google
2025-11-27,203,GGL_Prospecting_3,8296,205,107.26,30,Google
2025-11-26,203,GGL_Prospecting_3,5423,224,37.33,63,Google
